annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance,combinaison_gagnante_en_ordre_croissant,nombre_de_gagnant_au_rang1,rapport_du_rang1,nombre_de_gagnant_au_rang2,rapport_du_rang2,nombre_de_gagnant_au_rang3,rapport_du_rang3,nombre_de_gagnant_au_rang4,rapport_du_rang4,nombre_de_gagnant_au_rang5,rapport_du_rang5,nombre_de_gagnant_au_rang6,rapport_du_rang6,nombre_de_gagnant_au_rang7,rapport_du_rang7,nombre_de_gagnant_au_rang8,rapport_du_rang8,nombre_de_gagnant_au_rang9,rapport_du_rang9,nombre_de_codes_gagnants,rapport_codes_gagnants,codes_gagnants,boule_1_second_tirage,boule_2_second_tirage,boule_3_second_tirage,boule_4_second_tirage,boule_5_second_tirage,promotion_second_tirage,combinaison_gagnant_second_tirage_en_ordre_croissant,nombre_de_gagnant_au_rang_1_second_tirage,rapport_du_rang1_second_tirage,nombre_de_gagnant_au_rang_2_second_tirage,rapport_du_rang2_second_tirage,nombre_de_gagnant_au_rang_3_second_tirage,rapport_du_rang3_second_tirage,nombre_de_gagnant_au_rang_4_second_tirage,rapport_du_rang4_second_tirage,numero_jokerplus,devise
20222059,LUNDI,16/05/2022,16/07/2022,21,33,4,14,32,1,4-14-21-32-33+1,,15000000,,207043.9,33,7805.4,403,452.2,1377,79,16828,23.2,21225,14.3,248458,4.8,301329,2.2,10,20000,"W 2733 6630,Q 5290 1685,Q 3045 0177,L 5488 3791,U 7662 1783,G 0191 0721,A 2596 6730,U 4223 7764,T 6436 1136,W 2720 1180",4,13,24,27,29,,4-13-24-27-29,,127475,475,214.1,16599,15.7,189944,3,,eur
20222058,SAMEDI,14/05/2022,14/07/2022,4,44,29,32,24,4,4-24-29-32-44+4,,14000000,1,272345.9,86,772.9,616,389.2,3468,41.3,24279,21.2,41386,9.6,334308,4.7,523479,2.2,10,20000,"T 0817 6598,F 3760 9991,A 8933 4851,W 2701 5733,R 7765 5501,K 7787 9854,H 1651 2813,O 7058 5557,B 0768 8371,G 2944 3481",30,33,46,48,49,,30-33-46-48-49,2,88550,237,910.7,11449,48.4,175218,3,,eur
20222057,MERCREDI,11/05/2022,11/07/2022,23,45,7,2,46,10,2-7-23-45-46+10,,4000000,,187945.9,22,10628.1,336,492.4,1376,71.8,15340,23.1,19991,13.8,232223,4.7,273705,2.2,10,20000,"A 9947 5314,R 9815 6877,S 7050 8728,Q 5518 0368,B 9104 5459,U 9399 0500,T 4432 0756,U 7001 3413,O 0444 6589,H 3948 6987",7,23,27,32,39,,7-23-27-32-39,1,118731,291,410.5,10527,29.1,147502,3,,eur
20222056,LUNDI,09/05/2022,09/07/2022,6,33,7,9,15,2,6-7-9-15-33+2,,3000000,1,149934.1,36,1016.5,384,343.7,1651,47.7,18842,15,21065,10.4,234140,3.7,228854,2.2,10,20000,"U 6436 7172,U 8103 0278,O 6310 2894,M 5293 6858,D 8556 5772,F 5672 7318,G 4571 9081,N 1138 1535,R 3214 4259,E 2427 6370",20,25,29,42,48,,20-25-29-42-48,,100296,140,806,6683,43.4,110417,3,,eur
20222055,SAMEDI,07/05/2022,07/07/2022,23,37,38,7,15,3,7-15-23-37-38+3,,2000000,3,78195.6,84,681.6,576,358.5,2946,41.8,23162,19.1,40050,8.6,320765,4.2,499745,2.2,10,20000,"H 0467 3420,F 8894 2728,M 7030 8204,G 5362 8451,C 7354 2802,H 6648 9352,N 8768 0349,Q 2016 1150,R 3966 4758,S 8447 0013",12,18,19,24,42,,12-18-19-24-42,1,163591,507,273.6,18551,19.2,234001,3,,eur
20222054,MERCREDI,04/05/2022,04/07/2022,37,30,17,12,41,2,12-17-30-37-41+2,1,2000000,,182457.2,17,13352.3,303,530.1,1402,68.4,15345,22.5,21320,12.6,228802,4.6,290989,2.2,10,20000,"P 9110 6735,A 2896 4973,J 5230 5828,N 2062 6629,G 6726 2860,I 5088 1078,K 3076 8863,R 2864 8749,S 8214 6957,R 3910 2575",10,13,30,31,40,,10-13-30-31-40,,118234,297,382.4,11787,24.7,153304,3,,eur
20222053,LUNDI,02/05/2022,02/07/2022,46,20,13,47,8,7,8-13-20-46-47+7,1,8000000,,136783.2,49,3472.8,291,413.7,2151,33.4,13547,19.1,31758,6.3,198660,4,424071,2.2,10,20000,"Q 4682 0235,H 2819 6039,P 6313 2865,V 0199 6207,Q 3408 2316,R 1511 9783,N 0765 8690,Q 5454 1590,U 4070 7177,G 4405 8025",2,3,13,23,49,,2-3-13-23-49,2,54708,318,293.8,12608,19,155769,3,,eur
20222052,SAMEDI,30/04/2022,30/06/2022,6,27,5,21,47,9,5-6-21-27-47+9,,7000000,3,87666.5,61,1052.3,542,427.1,2946,46.9,26811,18.5,42680,9,381399,4,518694,2.2,10,20000,"H 5892 5657,U 7569 6475,T 0632 4639,V 7779 1932,J 1472 5058,V 2793 1432,I 7338 7615,E 7775 0124,K 5772 8890,U 9822 3164",8,13,20,31,35,,8-13-20-31-35,1,176819,377,451.5,16929,25.8,228828,3,,eur
20222051,MERCREDI,27/04/2022,27/06/2022,8,13,1,43,31,10,1-8-13-31-43+10,,6000000,1,197564.3,37,1303.2,533,326.3,1764,58.9,20842,17.9,23599,12.3,272596,4.2,285531,2.2,10,20000,"N 5147 9227,L 5997 1710,D 1848 4112,K 6448 8760,H 0611 1988,S 3476 6424,V 3472 4192,L 5585 9329,C 8083 0483,O 6697 8788",13,18,27,30,40,,13-18-27-30-40,1,123177,275,415.2,12285,23.9,164633,3,,eur
20222050,LUNDI,25/04/2022,25/06/2022,31,36,42,23,8,7,8-23-31-36-42+7,,5000000,2,63083.2,38,810.3,254,437.2,1785,37.1,11943,20,25856,7.1,173308,4.2,402563,2.2,10,20000,"M 0694 8661,D 7458 3659,V 5774 9062,V 8108 6394,R 5207 2442,W 2624 8616,E 0566 5154,F 3530 7322,F 6865 3376,K 1207 5485",2,22,43,45,47,,2-22-43-45-47,,102589,140,865.5,6973,44.6,106094,3,,eur
